Equation,Answer
1276 / 58 = ,22
57 - 17 = ,40
50 * 3 = ,150
19 + 36 = ,55
59 * 3 = ,177
1050 / 25 = ,42
10 - 79 = ,-69
57 * 21 = ,1197
82 + 8 = ,90
94 - 17 = ,77
96 * 51 = ,4896
7 - 61 = ,-54
29 + 78 = ,107
37 * 40 = ,1480
24 * 41 = ,984
81 * 6 = ,486
96 * 14 = ,1344
5110 / 70 = ,73
86 + 37 = ,123
1 - 60 = ,-59
76 * 79 = ,6004
72 * 25 = ,1800
48 * 4 = ,192
658 / 7 = ,94
66 + 47 = ,113
28 + 26 = ,54
21 - 19 = ,2
7566 / 78 = ,97
1344 / 28 = ,48
736 / 8 = ,92
63 + 25 = ,88
35 * 99 = ,3465
43 + 62 = ,105
3354 / 43 = ,78
55 + 77 = ,132
43 + 36 = ,79
20 + 33 = ,53
504 / 24 = ,21
13 + 42 = ,55
2232 / 36 = ,62
69 * 30 = ,2070
46 - 67 = ,-21
85 * 24 = ,2040
58 - 27 = ,31
15 * 64 = ,960
33 + 91 = ,124
78 + 35 = ,113
3900 / 60 = ,65
5 + 53 = ,58
88 * 26 = ,2288
1672 / 76 = ,22
13 - 92 = ,-79
46 + 58 = ,104
78 * 50 = ,3900
43 - 56 = ,-13
1216 / 16 = ,76
81 + 25 = ,106
46 - 77 = ,-31
83 * 31 = ,2573
1248 / 39 = ,32
1632 / 48 = ,34
60 * 3 = ,180
96 - 73 = ,23
21 * 70 = ,1470
15 * 76 = ,1140
57 - 23 = ,34
76 / 38 = ,2
76 / 4 = ,19
33 - 43 = ,-10
76 * 83 = ,6308
21 - 83 = ,-62
99 * 38 = ,3762
54 + 18 = ,72
3 + 15 = ,18
82 - 24 = ,58
26 - 81 = ,-55
69 - 63 = ,6
52 * 17 = ,884
5 * 68 = ,340
74 - 69 = ,5
3360 / 56 = ,60
3626 / 37 = ,98
3363 / 59 = ,57
1278 / 18 = ,71
80 - 83 = ,-3
1748 / 76 = ,23
81 - 17 = ,64
7200 / 96 = ,75
26 * 1 = ,26
32 - 95 = ,-63
532 / 19 = ,28
38 + 30 = ,68
17 + 85 = ,102
84 + 70 = ,154
34 + 65 = ,99
23 - 23 = ,0
71 * 42 = ,2982
29 + 37 = ,66
30 / 15 = ,2
16 * 94 = ,1504
56 / 7 = ,8
27 + 26 = ,53
66 - 70 = ,-4
30 * 55 = ,1650
77 + 18 = ,95
96 - 80 = ,16
75 - 9 = ,66
376 / 4 = ,94
87 / 29 = ,3
90 - 85 = ,5
81 + 79 = ,160
52 + 77 = ,129
2 * 91 = ,182
33 + 20 = ,53
39 + 86 = ,125
93 * 53 = ,4929
56 - 7 = ,49
38 + 30 = ,68
34 - 53 = ,-19
92 / 46 = ,2
1558 / 19 = ,82
34 - 98 = ,-64
19 + 49 = ,68
396 / 12 = ,33
40 - 38 = ,2
72 * 12 = ,864
72 * 76 = ,5472
3526 / 41 = ,86
9 + 34 = ,43
27 + 27 = ,54
77 * 10 = ,770
99 * 57 = ,5643
3552 / 74 = ,48
40 - 84 = ,-44
40 - 38 = ,2
5 * 68 = ,340
5 * 58 = ,290
18 + 50 = ,68
45 * 45 = ,2025
18 - 28 = ,-10
546 / 13 = ,42
92 + 9 = ,101
240 / 30 = ,8
33 - 19 = ,14
14 + 52 = ,66
64 * 31 = ,1984
75 - 35 = ,40
3984 / 83 = ,48
6 - 91 = ,-85
5518 / 89 = ,62
42 - 48 = ,-6
63 * 63 = ,3969
1410 / 30 = ,47
66 - 23 = ,43
34 * 52 = ,1768
16 + 93 = ,109
704 / 32 = ,22
21 * 30 = ,630
28 - 9 = ,19
2054 / 79 = ,26
16 - 40 = ,-24
9 + 26 = ,35
5 + 12 = ,17
94 - 89 = ,5
12 + 79 = ,91
15 * 84 = ,1260
31 + 72 = ,103
49 - 84 = ,-35
97 - 24 = ,73
45 * 93 = ,4185
64 * 39 = ,2496
25 + 91 = ,116
2419 / 59 = ,41
2 * 38 = ,76
72 * 87 = ,6264
62 - 64 = ,-2
5865 / 85 = ,69
8 * 24 = ,192
52 + 71 = ,123
175 / 35 = ,5
44 + 47 = ,91
24 - 43 = ,-19
59 * 55 = ,3245
99 - 94 = ,5
49 - 26 = ,23
28 * 89 = ,2492
98 * 89 = ,8722
62 + 16 = ,78
77 * 79 = ,6083
13 - 68 = ,-55
71 + 59 = ,130
21 - 24 = ,-3
30 * 27 = ,810
79 * 70 = ,5530
4 * 57 = ,228
91 - 23 = ,68
20 + 31 = ,51
13 - 4 = ,9
82 - 6 = ,76
41 * 38 = ,1558
4600 / 92 = ,50
12 + 95 = ,107
50 - 45 = ,5
17 - 5 = ,12
79 - 8 = ,71
92 * 72 = ,6624
85 * 94 = ,7990
41 * 48 = ,1968
4900 / 49 = ,100
8 + 55 = ,63
3 * 30 = ,90
82 - 1 = ,81
69 - 1 = ,68
1768 / 68 = ,26
21 * 92 = ,1932
78 + 79 = ,157
3996 / 74 = ,54
88 * 100 = ,8800
36 * 59 = ,2124
3417 / 51 = ,67
31 - 38 = ,-7
21 - 3 = ,18
94 - 33 = ,61
46 + 82 = ,128
26 - 69 = ,-43
96 + 4 = ,100
256 / 8 = ,32
550 / 50 = ,11
25 + 9 = ,34
41 + 40 = ,81
31 + 11 = ,42
1826 / 83 = ,22
94 - 11 = ,83
23 + 84 = ,107
5628 / 67 = ,84
42 + 91 = ,133
6864 / 88 = ,78
71 - 28 = ,43
61 - 87 = ,-26
63 - 21 = ,42
64 + 81 = ,145
26 + 25 = ,51
77 - 26 = ,51
81 * 16 = ,1296
78 - 63 = ,15
47 - 49 = ,-2
18 * 47 = ,846
15 - 23 = ,-8
27 * 87 = ,2349
50 * 95 = ,4750
2040 / 40 = ,51
69 + 76 = ,145
62 + 22 = ,84
13 + 25 = ,38
1968 / 48 = ,41
83 + 47 = ,130
36 + 35 = ,71
55 - 64 = ,-9
35 - 33 = ,2
16 - 20 = ,-4
1218 / 87 = ,14
55 + 66 = ,121
3 - 6 = ,-3
282 / 3 = ,94
55 + 53 = ,108
16 - 94 = ,-78
91 - 49 = ,42
48 + 62 = ,110
7623 / 77 = ,99
85 - 71 = ,14
10 * 65 = ,650
83 - 20 = ,63
1326 / 26 = ,51
44 * 43 = ,1892
53 - 2 = ,51
89 - 100 = ,-11
1152 / 64 = ,18
6 + 94 = ,100
592 / 74 = ,8
24 + 30 = ,54
1 + 55 = ,56
4 * 8 = ,32
532 / 38 = ,14
7000 / 100 = ,70
82 - 25 = ,57
34 - 76 = ,-42
1 - 21 = ,-20
6048 / 72 = ,84
52 * 15 = ,780
11 + 37 = ,48
468 / 36 = ,13
25 - 54 = ,-29
4136 / 47 = ,88
4452 / 84 = ,53
84 + 77 = ,161
86 - 26 = ,60
37 - 8 = ,29
29 * 15 = ,435
1462 / 17 = ,86
11 * 26 = ,286
15 + 49 = ,64
1494 / 18 = ,83
27 - 66 = ,-39
60 - 97 = ,-37
100 - 36 = ,64
92 * 90 = ,8280
58 + 66 = ,124
98 * 35 = ,3430
45 * 15 = ,675
93 - 94 = ,-1
60 + 85 = ,145
91 * 83 = ,7553
6120 / 68 = ,90
67 + 7 = ,74
63 * 53 = ,3339
69 * 27 = ,1863
3822 / 39 = ,98
69 + 30 = ,99
2915 / 53 = ,55
70 - 9 = ,61
87 * 91 = ,7917
37 + 77 = ,114
4 - 26 = ,-22
400 / 40 = ,10
45 * 45 = ,2025
861 / 21 = ,41
94 * 13 = ,1222
93 + 74 = ,167
1504 / 94 = ,16
38 + 90 = ,128
54 + 9 = ,63
837 / 93 = ,9
96 + 59 = ,155
48 * 20 = ,960
8 + 95 = ,103
56 + 66 = ,122
100 + 78 = ,178
42 + 1 = ,43
48 + 97 = ,145
2795 / 65 = ,43
44 + 79 = ,123
504 / 7 = ,72
48 * 21 = ,1008
