Equation,Answer
8 + 1 = ,9
9 * 8 = ,72
2 + 2 = ,4
6 - 9 = ,-3
9 * 4 = ,36
1 - 8 = ,-7
5 * 2 = ,10
1 - 8 = ,-7
2 * 3 = ,6
2 - 6 = ,-4
5 * 6 = ,30
3 * 2 = ,6
7 - 10 = ,-3
10 * 10 = ,100
2 * 3 = ,6
6 + 6 = ,12
7 * 4 = ,28
4 * 8 = ,32
5 - 4 = ,1
3 * 5 = ,15
7 * 3 = ,21
7 - 7 = ,0
10 + 1 = ,11
2 + 4 = ,6
5 + 8 = ,13
1 + 10 = ,11
4 - 2 = ,2
1 + 2 = ,3
2 + 1 = ,3
10 - 7 = ,3
6 + 9 = ,15
10 - 9 = ,1
5 - 2 = ,3
10 + 1 = ,11
10 + 6 = ,16
4 + 8 = ,12
5 + 6 = ,11
2 - 10 = ,-8
10 + 5 = ,15
3 - 6 = ,-3
7 * 2 = ,14
3 - 6 = ,-3
7 + 2 = ,9
8 + 7 = ,15
5 + 8 = ,13
7 * 1 = ,7
7 + 8 = ,15
10 * 2 = ,20
3 + 5 = ,8
7 + 9 = ,16
3 - 9 = ,-6
9 - 8 = ,1
9 + 5 = ,14
10 - 7 = ,3
8 + 2 = ,10
3 - 2 = ,1
4 * 6 = ,24
4 - 4 = ,0
4 + 1 = ,5
1 * 9 = ,9
9 - 5 = ,4
7 * 7 = ,49
8 + 9 = ,17
9 * 4 = ,36
4 + 10 = ,14
3 - 10 = ,-7
8 * 8 = ,64
7 * 2 = ,14
1 + 10 = ,11
9 * 4 = ,36
8 - 1 = ,7
10 - 5 = ,5
8 + 5 = ,13
5 + 2 = ,7
9 - 1 = ,8
1 * 2 = ,2
1 * 8 = ,8
4 + 1 = ,5
8 * 7 = ,56
10 - 10 = ,0
1 + 4 = ,5
7 - 9 = ,-2
4 * 5 = ,20
9 - 5 = ,4
2 + 1 = ,3
6 + 1 = ,7
4 - 10 = ,-6
4 + 5 = ,9
2 - 7 = ,-5
1 * 3 = ,3
7 - 8 = ,-1
2 - 7 = ,-5
5 + 9 = ,14
2 * 6 = ,12
5 - 8 = ,-3
1 - 10 = ,-9
4 + 4 = ,8
7 * 8 = ,56
6 * 8 = ,48
9 - 6 = ,3
6 * 9 = ,54
6 * 8 = ,48
1 + 6 = ,7
7 * 7 = ,49
6 + 2 = ,8
8 - 3 = ,5
8 + 2 = ,10
8 - 8 = ,0
1 + 4 = ,5
4 + 2 = ,6
5 - 9 = ,-4
10 * 8 = ,80
1 * 3 = ,3
7 * 9 = ,63
9 * 3 = ,27
7 * 5 = ,35
6 * 10 = ,60
8 * 1 = ,8
9 * 9 = ,81
2 * 1 = ,2
9 - 7 = ,2
8 * 3 = ,24
5 - 9 = ,-4
7 + 8 = ,15
8 + 8 = ,16
1 - 2 = ,-1
6 + 5 = ,11
5 + 10 = ,15
4 * 8 = ,32
5 + 7 = ,12
4 - 9 = ,-5
2 - 5 = ,-3
5 * 10 = ,50
5 - 1 = ,4
1 + 8 = ,9
2 + 8 = ,10
4 - 10 = ,-6
1 - 9 = ,-8
9 - 2 = ,7
5 - 9 = ,-4
10 * 7 = ,70
1 * 9 = ,9
9 - 4 = ,5
5 - 1 = ,4
7 + 6 = ,13
1 * 9 = ,9
2 + 1 = ,3
2 - 3 = ,-1
3 + 4 = ,7
1 - 10 = ,-9
7 * 6 = ,42
1 - 9 = ,-8
6 * 5 = ,30
5 * 6 = ,30
9 + 1 = ,10
8 * 10 = ,80
3 * 1 = ,3
9 - 1 = ,8
3 - 1 = ,2
5 * 2 = ,10
9 * 8 = ,72
7 + 10 = ,17
2 - 2 = ,0
9 * 6 = ,54
3 + 3 = ,6
6 - 9 = ,-3
5 - 1 = ,4
10 * 6 = ,60
6 - 8 = ,-2
1 - 9 = ,-8
4 + 2 = ,6
2 - 7 = ,-5
7 + 8 = ,15
3 - 1 = ,2
9 - 10 = ,-1
2 * 4 = ,8
2 * 6 = ,12
8 * 7 = ,56
1 * 6 = ,6
6 - 9 = ,-3
4 - 5 = ,-1
4 - 5 = ,-1
7 + 9 = ,16
9 - 10 = ,-1
5 * 8 = ,40
2 - 3 = ,-1
1 - 3 = ,-2
1 - 5 = ,-4
4 - 3 = ,1
2 - 9 = ,-7
6 - 2 = ,4
5 - 3 = ,2
9 - 8 = ,1
1 * 10 = ,10
7 + 9 = ,16
6 - 10 = ,-4
6 + 10 = ,16
7 - 8 = ,-1
6 + 8 = ,14
4 + 8 = ,12
4 * 1 = ,4
1 + 5 = ,6
4 + 3 = ,7
10 * 9 = ,90
7 - 4 = ,3
10 * 6 = ,60
3 + 2 = ,5
1 * 2 = ,2
6 + 6 = ,12
10 * 6 = ,60
3 * 1 = ,3
7 + 2 = ,9
8 + 8 = ,16
3 + 7 = ,10
3 + 10 = ,13
7 * 3 = ,21
10 + 7 = ,17
2 * 10 = ,20
2 - 7 = ,-5
8 + 10 = ,18
4 - 10 = ,-6
1 * 8 = ,8
10 - 10 = ,0
5 + 1 = ,6
8 - 7 = ,1
7 * 10 = ,70
4 * 10 = ,40
7 - 10 = ,-3
9 * 4 = ,36
3 + 8 = ,11
3 * 8 = ,24
8 * 2 = ,16
5 - 10 = ,-5
5 * 3 = ,15
4 - 8 = ,-4
8 * 7 = ,56
7 * 9 = ,63
4 - 5 = ,-1
10 + 2 = ,12
3 * 10 = ,30
5 * 1 = ,5
6 * 2 = ,12
8 * 9 = ,72
7 - 6 = ,1
6 * 6 = ,36
10 - 3 = ,7
3 + 1 = ,4
4 * 9 = ,36
5 + 4 = ,9
5 - 7 = ,-2
10 + 8 = ,18
2 * 6 = ,12
6 + 2 = ,8
4 * 6 = ,24
4 * 1 = ,4
3 * 8 = ,24
1 * 5 = ,5
6 + 9 = ,15
4 * 5 = ,20
3 + 1 = ,4
6 * 6 = ,36
7 - 4 = ,3
8 - 5 = ,3
9 + 6 = ,15
9 * 2 = ,18
6 - 10 = ,-4
10 + 10 = ,20
7 - 3 = ,4
8 - 7 = ,1
3 + 3 = ,6
4 - 9 = ,-5
1 - 7 = ,-6
4 - 10 = ,-6
2 - 10 = ,-8
4 * 6 = ,24
7 + 8 = ,15
5 + 1 = ,6
10 * 3 = ,30
7 * 1 = ,7
9 + 2 = ,11
1 + 10 = ,11
7 * 9 = ,63
6 * 7 = ,42
4 + 10 = ,14
1 * 3 = ,3
7 + 7 = ,14
4 - 6 = ,-2
2 * 1 = ,2
8 - 2 = ,6
3 * 8 = ,24
10 - 7 = ,3
3 * 7 = ,21
7 * 3 = ,21
2 - 2 = ,0
5 * 2 = ,10
9 + 6 = ,15
9 + 2 = ,11
9 * 1 = ,9
3 * 4 = ,12
5 * 3 = ,15
3 * 3 = ,9
5 * 1 = ,5
10 - 2 = ,8
2 + 7 = ,9
9 * 3 = ,27
3 - 6 = ,-3
4 + 8 = ,12
9 * 6 = ,54
5 * 2 = ,10
1 * 4 = ,4
9 * 1 = ,9
2 - 10 = ,-8
2 - 10 = ,-8
10 * 1 = ,10
2 - 1 = ,1
1 + 3 = ,4
5 - 7 = ,-2
10 + 2 = ,12
6 + 8 = ,14
10 - 4 = ,6
3 - 7 = ,-4
7 - 7 = ,0
8 * 10 = ,80
8 + 2 = ,10
5 - 7 = ,-2
7 + 7 = ,14
3 * 6 = ,18
3 - 7 = ,-4
5 - 6 = ,-1
1 + 7 = ,8
2 * 4 = ,8
10 * 1 = ,10
3 * 2 = ,6
5 - 5 = ,0
3 - 4 = ,-1
10 - 2 = ,8
9 + 4 = ,13
6 - 10 = ,-4
3 * 1 = ,3
2 + 9 = ,11
10 + 3 = ,13
8 - 3 = ,5
3 * 1 = ,3
6 - 2 = ,4
3 - 6 = ,-3
9 + 8 = ,17
5 + 7 = ,12
6 * 5 = ,30
8 - 9 = ,-1
5 - 9 = ,-4
1 - 8 = ,-7
4 - 2 = ,2
3 - 6 = ,-3
3 - 4 = ,-1
3 * 7 = ,21
7 - 5 = ,2
3 - 3 = ,0
8 - 4 = ,4
6 * 10 = ,60
2 - 6 = ,-4
3 - 6 = ,-3
6 + 6 = ,12
9 * 3 = ,27
5 + 5 = ,10
9 - 7 = ,2
3 + 9 = ,12
3 - 9 = ,-6
9 * 8 = ,72
5 - 1 = ,4
3 + 7 = ,10
4 * 1 = ,4
3 * 2 = ,6
2 + 7 = ,9
3 + 3 = ,6
2 * 8 = ,16
3 * 9 = ,27
1 * 7 = ,7
2 - 7 = ,-5
8 + 10 = ,18
7 - 4 = ,3
2 + 6 = ,8
5 * 10 = ,50
7 * 5 = ,35
7 - 2 = ,5
9 * 3 = ,27
8 + 3 = ,11
7 * 7 = ,49
1 - 10 = ,-9
1 * 5 = ,5
1 - 4 = ,-3
6 + 3 = ,9
8 + 8 = ,16
9 * 3 = ,27
10 * 10 = ,100
3 + 2 = ,5
9 * 6 = ,54
10 * 3 = ,30
3 + 8 = ,11
8 - 5 = ,3
5 + 10 = ,15
1 * 1 = ,1
4 * 10 = ,40
8 * 1 = ,8
9 - 6 = ,3
1 - 4 = ,-3
5 + 8 = ,13
4 + 10 = ,14
8 - 3 = ,5
4 + 6 = ,10
9 - 5 = ,4
2 + 7 = ,9
1 * 7 = ,7
3 - 5 = ,-2
8 * 9 = ,72
9 + 7 = ,16
8 + 4 = ,12
8 * 10 = ,80
4 - 7 = ,-3
6 + 1 = ,7
9 - 10 = ,-1
8 + 8 = ,16
7 - 10 = ,-3
1 * 4 = ,4
9 * 7 = ,63
6 * 8 = ,48
9 - 1 = ,8
1 * 8 = ,8
6 + 7 = ,13
7 * 1 = ,7
9 * 4 = ,36
10 * 10 = ,100
10 - 3 = ,7
1 * 4 = ,4
6 - 10 = ,-4
8 * 9 = ,72
6 * 2 = ,12
7 - 3 = ,4
5 * 7 = ,35
10 - 7 = ,3
3 - 8 = ,-5
6 - 6 = ,0
7 - 9 = ,-2
9 - 4 = ,5
3 * 8 = ,24
7 - 7 = ,0
6 * 10 = ,60
6 * 5 = ,30
4 * 5 = ,20
9 * 7 = ,63
4 - 3 = ,1
8 + 9 = ,17
3 - 10 = ,-7
9 + 7 = ,16
7 + 6 = ,13
3 + 8 = ,11
6 - 1 = ,5
1 + 1 = ,2
8 * 6 = ,48
2 - 9 = ,-7
7 + 3 = ,10
5 * 1 = ,5
10 * 6 = ,60
7 * 8 = ,56
1 * 6 = ,6
4 + 6 = ,10
2 * 9 = ,18
8 - 2 = ,6
10 - 9 = ,1
10 * 1 = ,10
6 - 6 = ,0
5 - 8 = ,-3
2 - 1 = ,1
9 * 2 = ,18
6 * 6 = ,36
6 + 2 = ,8
6 * 4 = ,24
5 + 4 = ,9
7 - 4 = ,3
5 + 10 = ,15
2 - 6 = ,-4
3 + 9 = ,12
1 * 5 = ,5
8 - 3 = ,5
5 + 10 = ,15
4 - 10 = ,-6
9 + 5 = ,14
10 - 1 = ,9
6 - 5 = ,1
10 * 5 = ,50
9 * 2 = ,18
7 - 4 = ,3
5 + 7 = ,12
2 * 9 = ,18
8 * 7 = ,56
7 + 10 = ,17
5 - 5 = ,0
5 * 7 = ,35
3 * 9 = ,27
8 - 5 = ,3
9 * 10 = ,90
10 - 10 = ,0
5 - 2 = ,3
2 * 9 = ,18
8 * 9 = ,72
10 + 7 = ,17
8 * 7 = ,56
7 - 1 = ,6
2 * 8 = ,16
2 + 9 = ,11
1 + 3 = ,4
1 * 6 = ,6
4 * 8 = ,32
10 - 6 = ,4
4 + 5 = ,9
1 + 6 = ,7
2 * 1 = ,2
2 - 2 = ,0
4 + 3 = ,7
4 * 3 = ,12
1 * 10 = ,10
6 * 9 = ,54
8 * 1 = ,8
8 + 5 = ,13
7 + 6 = ,13
10 + 2 = ,12
1 + 3 = ,4
1 + 2 = ,3
4 * 9 = ,36
9 * 3 = ,27
9 * 8 = ,72
5 + 3 = ,8
6 - 9 = ,-3
8 + 5 = ,13
8 + 3 = ,11
4 + 6 = ,10
2 * 8 = ,16
2 * 2 = ,4
3 + 6 = ,9
10 - 2 = ,8
7 * 6 = ,42
2 * 1 = ,2
4 - 3 = ,1
8 + 7 = ,15
1 - 6 = ,-5
2 + 6 = ,8
4 - 3 = ,1
2 * 7 = ,14
10 - 6 = ,4
2 + 4 = ,6
7 + 1 = ,8
3 * 1 = ,3
7 + 3 = ,10
9 + 6 = ,15
2 - 5 = ,-3
9 - 2 = ,7
6 * 1 = ,6
6 + 8 = ,14
7 - 7 = ,0
6 * 4 = ,24
7 - 1 = ,6
1 + 6 = ,7
5 * 10 = ,50
8 * 10 = ,80
8 - 4 = ,4
1 + 10 = ,11
6 + 2 = ,8
2 * 10 = ,20
9 - 2 = ,7
3 + 7 = ,10
5 + 8 = ,13
10 - 4 = ,6
9 * 7 = ,63
4 - 6 = ,-2
8 + 5 = ,13
4 + 3 = ,7
7 + 4 = ,11
10 - 7 = ,3
6 * 1 = ,6
3 * 7 = ,21
5 - 6 = ,-1
7 * 5 = ,35
10 - 1 = ,9
5 * 3 = ,15
9 * 4 = ,36
4 - 10 = ,-6
5 - 3 = ,2
8 * 10 = ,80
6 + 2 = ,8
6 * 8 = ,48
8 * 8 = ,64
6 * 8 = ,48
1 - 7 = ,-6
6 * 1 = ,6
6 + 1 = ,7
9 + 8 = ,17
4 - 4 = ,0
2 * 3 = ,6
10 - 3 = ,7
2 + 6 = ,8
2 * 10 = ,20
4 + 9 = ,13
2 * 8 = ,16
5 - 8 = ,-3
5 * 10 = ,50
7 - 6 = ,1
9 + 10 = ,19
3 * 8 = ,24
8 - 10 = ,-2
3 - 10 = ,-7
2 + 10 = ,12
7 * 7 = ,49
9 * 6 = ,54
4 + 3 = ,7
7 + 7 = ,14
6 * 10 = ,60
1 + 1 = ,2
2 + 10 = ,12
10 - 10 = ,0
3 * 10 = ,30
6 * 4 = ,24
10 + 9 = ,19
8 + 1 = ,9
8 + 1 = ,9
8 * 7 = ,56
9 + 6 = ,15
4 * 6 = ,24
10 + 3 = ,13
5 + 10 = ,15
3 * 10 = ,30
5 - 4 = ,1
7 - 9 = ,-2
1 * 6 = ,6
9 + 4 = ,13
10 - 10 = ,0
7 - 8 = ,-1
5 + 7 = ,12
1 - 2 = ,-1
7 - 8 = ,-1
4 * 2 = ,8
6 + 4 = ,10
9 - 1 = ,8
2 - 8 = ,-6
9 * 10 = ,90
10 - 10 = ,0
2 + 3 = ,5
2 * 9 = ,18
9 - 6 = ,3
6 * 9 = ,54
10 - 5 = ,5
7 * 1 = ,7
9 * 9 = ,81
6 + 6 = ,12
9 * 8 = ,72
1 * 10 = ,10
1 * 4 = ,4
4 + 6 = ,10
10 + 5 = ,15
3 * 9 = ,27
9 * 10 = ,90
10 * 8 = ,80
9 - 8 = ,1
3 + 10 = ,13
5 - 6 = ,-1
10 - 2 = ,8
5 - 7 = ,-2
1 - 3 = ,-2
9 - 7 = ,2
7 + 9 = ,16
5 - 2 = ,3
10 - 8 = ,2
9 * 6 = ,54
9 * 6 = ,54
8 - 6 = ,2
8 + 4 = ,12
5 * 6 = ,30
2 * 4 = ,8
4 + 5 = ,9
9 * 9 = ,81
4 + 9 = ,13
10 * 8 = ,80
3 * 4 = ,12
7 - 7 = ,0
8 - 10 = ,-2
9 * 3 = ,27
3 - 1 = ,2
5 + 4 = ,9
6 + 1 = ,7
1 - 8 = ,-7
8 - 4 = ,4
2 + 6 = ,8
10 + 7 = ,17
1 * 8 = ,8
5 - 1 = ,4
1 + 1 = ,2
1 + 7 = ,8
3 * 3 = ,9
6 - 9 = ,-3
2 - 10 = ,-8
1 + 5 = ,6
10 + 8 = ,18
3 - 10 = ,-7
5 - 7 = ,-2
7 * 4 = ,28
3 - 7 = ,-4
1 * 1 = ,1
6 * 2 = ,12
7 * 10 = ,70
9 + 5 = ,14
6 + 1 = ,7
1 + 2 = ,3
3 + 8 = ,11
3 - 5 = ,-2
2 * 5 = ,10
1 * 4 = ,4
8 - 6 = ,2
7 - 9 = ,-2
2 * 4 = ,8
10 * 4 = ,40
8 - 1 = ,7
6 + 1 = ,7
6 - 6 = ,0
6 + 2 = ,8
1 + 6 = ,7
8 * 3 = ,24
1 + 5 = ,6
7 * 5 = ,35
7 * 2 = ,14
5 - 6 = ,-1
9 * 1 = ,9
10 * 8 = ,80
9 * 2 = ,18
9 - 10 = ,-1
8 - 3 = ,5
10 * 6 = ,60
7 - 5 = ,2
8 + 8 = ,16
7 * 5 = ,35
10 * 9 = ,90
2 * 9 = ,18
5 - 2 = ,3
9 + 9 = ,18
3 - 1 = ,2
8 + 8 = ,16
6 + 4 = ,10
3 * 1 = ,3
2 - 9 = ,-7
9 * 10 = ,90
9 - 6 = ,3
5 * 3 = ,15
5 - 10 = ,-5
7 * 9 = ,63
1 + 4 = ,5
6 + 8 = ,14
4 + 6 = ,10
1 - 7 = ,-6
4 + 1 = ,5
2 - 5 = ,-3
5 + 5 = ,10
4 - 2 = ,2
2 - 7 = ,-5
9 + 8 = ,17
3 + 10 = ,13
8 + 5 = ,13
9 - 6 = ,3
9 + 9 = ,18
6 + 1 = ,7
8 + 1 = ,9
1 + 9 = ,10
5 - 8 = ,-3
8 * 6 = ,48
8 + 1 = ,9
3 + 7 = ,10
8 * 6 = ,48
2 - 4 = ,-2
4 - 10 = ,-6
1 + 5 = ,6
6 + 6 = ,12
4 - 6 = ,-2
1 + 4 = ,5
2 - 9 = ,-7
6 * 1 = ,6
4 + 3 = ,7
7 - 5 = ,2
5 + 9 = ,14
9 * 7 = ,63
4 - 7 = ,-3
5 * 4 = ,20
4 + 6 = ,10
6 - 6 = ,0
2 - 5 = ,-3
7 + 6 = ,13
4 - 2 = ,2
3 + 6 = ,9
2 * 10 = ,20
10 - 3 = ,7
4 + 1 = ,5
4 - 4 = ,0
6 - 8 = ,-2
10 + 2 = ,12
3 * 9 = ,27
4 + 10 = ,14
1 + 10 = ,11
9 - 8 = ,1
9 + 2 = ,11
1 + 5 = ,6
3 * 4 = ,12
8 * 9 = ,72
6 + 10 = ,16
10 + 5 = ,15
8 + 6 = ,14
8 + 4 = ,12
7 + 9 = ,16
7 + 3 = ,10
10 + 8 = ,18
2 - 7 = ,-5
5 - 5 = ,0
6 * 5 = ,30
7 * 6 = ,42
10 + 5 = ,15
8 * 9 = ,72
9 + 3 = ,12
1 - 4 = ,-3
5 - 4 = ,1
4 * 1 = ,4
8 - 3 = ,5
2 - 6 = ,-4
1 + 5 = ,6
6 + 8 = ,14
1 + 7 = ,8
5 + 7 = ,12
6 * 6 = ,36
7 - 9 = ,-2
1 * 1 = ,1
2 - 10 = ,-8
6 - 10 = ,-4
5 * 3 = ,15
8 - 10 = ,-2
1 * 5 = ,5
9 + 10 = ,19
5 + 8 = ,13
5 + 8 = ,13
9 + 1 = ,10
7 * 3 = ,21
5 * 9 = ,45
3 + 9 = ,12
5 - 8 = ,-3
10 - 5 = ,5
8 + 6 = ,14
8 + 10 = ,18
3 - 10 = ,-7
1 * 2 = ,2
7 * 4 = ,28
7 + 1 = ,8
10 - 8 = ,2
4 - 10 = ,-6
4 + 6 = ,10
1 + 9 = ,10
5 + 1 = ,6
1 * 4 = ,4
2 * 1 = ,2
6 * 1 = ,6
5 - 8 = ,-3
1 * 2 = ,2
6 - 8 = ,-2
2 * 1 = ,2
5 + 9 = ,14
4 - 7 = ,-3
3 - 4 = ,-1
1 * 7 = ,7
9 - 8 = ,1
8 * 6 = ,48
5 * 3 = ,15
10 + 7 = ,17
9 * 7 = ,63
5 * 4 = ,20
1 - 10 = ,-9
8 * 9 = ,72
7 * 10 = ,70
8 - 6 = ,2
2 - 5 = ,-3
2 - 8 = ,-6
1 + 3 = ,4
4 + 9 = ,13
3 * 4 = ,12
10 - 10 = ,0
3 + 9 = ,12
1 * 2 = ,2
8 - 10 = ,-2
8 - 3 = ,5
2 + 3 = ,5
2 - 2 = ,0
2 - 8 = ,-6
2 + 4 = ,6
3 + 5 = ,8
2 * 8 = ,16
5 + 8 = ,13
5 - 3 = ,2
2 - 1 = ,1
1 + 2 = ,3
10 + 5 = ,15
6 - 4 = ,2
2 - 5 = ,-3
1 - 10 = ,-9
9 * 5 = ,45
9 + 1 = ,10
9 * 8 = ,72
10 - 8 = ,2
2 + 6 = ,8
6 - 4 = ,2
10 + 2 = ,12
8 + 8 = ,16
10 - 10 = ,0
1 - 7 = ,-6
6 * 8 = ,48
10 * 3 = ,30
6 * 8 = ,48
4 * 6 = ,24
7 + 4 = ,11
9 * 9 = ,81
3 - 1 = ,2
9 - 1 = ,8
10 + 10 = ,20
10 * 1 = ,10
8 + 7 = ,15
1 * 7 = ,7
5 + 1 = ,6
3 * 3 = ,9
3 + 5 = ,8
1 * 7 = ,7
8 * 9 = ,72
6 + 5 = ,11
4 + 3 = ,7
2 - 8 = ,-6
8 + 9 = ,17
10 * 2 = ,20
8 * 5 = ,40
9 * 6 = ,54
1 * 10 = ,10
10 * 8 = ,80
5 + 3 = ,8
9 * 9 = ,81
4 * 7 = ,28
5 + 5 = ,10
7 - 6 = ,1
5 + 6 = ,11
8 + 10 = ,18
5 * 5 = ,25
5 + 6 = ,11
2 - 5 = ,-3
5 + 5 = ,10
2 * 10 = ,20
2 - 6 = ,-4
5 - 5 = ,0
9 + 2 = ,11
2 - 7 = ,-5
2 + 7 = ,9
8 * 6 = ,48
8 - 5 = ,3
3 - 3 = ,0
4 - 1 = ,3
7 - 9 = ,-2
4 - 6 = ,-2
3 * 5 = ,15
2 + 6 = ,8
3 + 10 = ,13
1 * 4 = ,4
4 - 5 = ,-1
2 + 8 = ,10
9 - 10 = ,-1
9 + 2 = ,11
3 * 10 = ,30
5 + 3 = ,8
7 - 9 = ,-2
3 * 3 = ,9
8 - 10 = ,-2
8 - 5 = ,3
4 + 6 = ,10
7 + 4 = ,11
1 * 5 = ,5
9 - 4 = ,5
9 - 6 = ,3
4 + 8 = ,12
3 + 5 = ,8
9 - 6 = ,3
8 + 10 = ,18
10 * 2 = ,20
10 + 8 = ,18
6 + 7 = ,13
6 - 3 = ,3
8 - 7 = ,1
9 * 7 = ,63
8 - 5 = ,3
10 - 9 = ,1
7 - 5 = ,2
7 * 6 = ,42
2 * 9 = ,18
4 + 5 = ,9
8 * 1 = ,8
9 - 10 = ,-1
10 * 10 = ,100
2 + 8 = ,10
5 - 1 = ,4
6 * 3 = ,18
6 - 5 = ,1
2 * 7 = ,14
6 + 4 = ,10
4 + 5 = ,9
4 * 7 = ,28
4 - 4 = ,0
5 + 7 = ,12
4 * 10 = ,40
3 * 2 = ,6
1 * 5 = ,5
3 * 10 = ,30
5 * 8 = ,40
7 + 6 = ,13
3 * 2 = ,6
4 + 7 = ,11
5 - 3 = ,2
3 + 6 = ,9
4 + 9 = ,13
1 - 6 = ,-5
6 - 2 = ,4
5 - 7 = ,-2
7 + 9 = ,16
5 * 4 = ,20
3 * 7 = ,21
1 - 6 = ,-5
10 * 8 = ,80
5 * 9 = ,45
9 + 7 = ,16
7 + 1 = ,8
8 + 9 = ,17
9 - 2 = ,7
9 - 1 = ,8
